ID,Task,Extraversion,Extravert,AllConn_CEN,AllConn_DMN,AllConn_SN,Intra_CEN,Intra_DMN,Intra_SN,Extra_CEN,Extra_DMN,Extra_SN,CEN_SN,SN_DMN,DMN_CEN,Intra_CEN_z,Intra_DMN_z,Intra_SN_z,Extra_CEN_z,Extra_DMN_z,Extra_SN_z,CEN_SN_z,SN_DMN_z,DMN_CEN_z
sub-2000,BreathNVHA,25,1,29,30,22,30,47,90,29,30,22,52,9,27,1.5446,1.6261,1.5111,1.5138,1.4666,1.5173,1.4392,1.6637,1.5019
sub-2000,BreathNVHA,25,1,18,25,46,15,48,110,18,25,46,62,19,26,1.4561,1.6313,1.4533,1.5081,1.4846,1.4082,1.4154,1.4109,1.4868
sub-2000,BreathNVHA,25,1,24,24,28,18,51,126,24,24,28,43,14,29,1.8125,1.9226,1.7912,1.73,1.6693,1.7695,1.6895,1.6311,1.7094
sub-2000,BreathNVHA,25,1,22,23,31,13,53,122,22,23,31,38,18,32,1.8945,2.1551,1.9117,2.0559,1.8238,1.8275,1.876,1.8183,1.8747
sub-2000,BreathNVHA,25,1,35,30,33,35,53,48,35,30,33,50,8,37,1.9336,2.0445,1.8226,2.065,1.8798,1.8167,1.8235,2.0169,1.9055
sub-2000,BreathNVHA,25,1,31,30,28,28,52,93,31,30,28,45,11,32,1.6404,1.8074,1.5892,1.6654,1.5923,1.5068,1.604,1.6428,1.6835
sub-2000,BreathNVHA,25,1,32,32,26,28,55,92,32,32,26,48,10,34,1.6734,1.878,1.6436,1.7099,1.632,1.5595,1.6243,1.7538,1.7327
sub-2000,BreathNVHA,25,1,39,29,32,28,53,61,39,29,32,40,9,37,1.8475,1.9967,1.7225,1.8619,1.7775,1.6753,1.7497,1.9507,1.825
sub-2000,BreathNVHA,25,1,30,28,30,29,47,73,30,28,30,36,10,30,1.8427,1.9505,1.7797,1.8334,1.7583,1.7122,1.8229,1.7655,1.7432
sub-2000,BreathNVHA,25,1,25,22,27,32,33,142,25,22,27,60,7,22,1.7596,1.7207,1.7772,1.6531,1.6262,1.9142,1.7226,1.5483,1.6152
sub-2000,BreathNVHA,25,1,28,30,32,21,56,96,28,30,32,51,15,34,1.4714,1.5761,1.3708,1.3241,1.2777,1.292,1.2958,1.3756,1.4043
sub-2000,BreathNVLA,25,1,7,13,13,20,26,148,7,13,13,87,13,25,1.4267,1.2117,1.3912,1.0588,1.1887,1.1867,1.2408,1.2065,1.2598
sub-2000,BreathNVLA,25,1,17,21,26,37,20,139,17,21,26,88,14,22,1.3954,1.2769,1.5952,1.2275,1.3916,1.2379,1.4147,1.2411,1.3998
sub-2000,BreathNVLA,25,1,28,33,26,50,27,132,28,33,26,117,15,36,1.5637,1.5047,1.5514,1.4059,1.578,1.3738,1.5048,1.2776,1.5735
sub-2000,BreathNVLA,25,1,18,30,10,24,40,80,18,30,10,35,7,33,1.5907,1.5986,1.5448,1.3766,1.4901,1.3706,1.4233,1.4638,1.6076
sub-2000,BreathNVLA,25,1,13,18,14,38,28,131,13,18,14,69,8,29,1.2779,1.2476,1.3115,1.0907,1.285,1.0256,1.1474,1.1475,1.2634
sub-2000,BreathNVLA,25,1,47,45,11,39,42,19,47,45,11,27,8,55,1.9589,2.149,1.8431,1.8027,2.0882,1.7568,1.9192,1.9433,1.9675
sub-2000,BreathNVLA,25,1,36,39,7,35,41,46,36,39,7,30,6,48,1.6502,1.7379,1.5383,1.4338,1.6766,1.4191,1.5307,1.5468,1.6139
sub-2000,BreathNVLA,25,1,30,38,6,28,55,27,30,38,6,17,7,45,2.0886,2.2489,1.8772,1.9974,2.0148,2.1114,1.8854,2.0055,2.1678
sub-2000,BreathNVLA,25,1,5,7,21,16,32,109,5,7,21,49,11,26,1.5223,1.425,1.5198,1.2621,1.2081,1.3523,1.3521,1.269,1.4281
sub-2000,BreathNVLA,25,1,12,12,19,39,17,151,12,12,19,92,15,28,1.3732,1.187,1.327,1.0639,1.1996,1.0608,1.2361,1.08,1.2387
sub-2000,BreathNVLA,25,1,51,50,29,43,40,12,51,50,29,38,9,57,2.5091,2.7407,2.3171,2.4596,2.737,2.4277,2.4222,2.6534,2.5062
sub-2000,BreathNVLA,25,1,20,29,10,25,47,58,20,29,10,11,3,36,1.7998,1.8216,1.688,1.6698,1.7253,1.6216,1.7512,1.9026,1.825
sub-2000,BreathNVLA,25,1,23,36,6,35,37,83,23,36,6,35,5,40,1.4783,1.482,1.4091,1.2703,1.4734,1.2344,1.3572,1.461,1.4125
sub-2000,BreathNVLA,25,1,37,40,10,38,35,54,37,40,10,36,5,44,1.7065,1.7756,1.5159,1.5103,1.8027,1.4005,1.5403,1.6675,1.6595
sub-2000,BreathNVLA,25,1,25,28,6,37,33,106,25,28,6,31,4,34,1.4274,1.3492,1.3725,1.2292,1.4178,1.1374,1.3604,1.4411,1.3808
sub-2000,BreathNVLA,25,1,26,36,13,40,36,100,26,36,13,61,9,43,1.4287,1.4207,1.3735,1.2102,1.3889,1.1295,1.2714,1.2752,1.3895
sub-2000,BreathNVLA,25,1,45,42,10,40,37,38,45,42,10,30,6,49,1.7866,1.9037,1.6363,1.5754,1.8959,1.4864,1.6918,1.7593,1.7696
sub-2000,BreathNVLA,25,1,23,37,7,36,40,73,23,37,7,32,6,41,1.5278,1.5672,1.478,1.3627,1.5442,1.3117,1.4049,1.4593,1.5101
sub-2000,BreathNVLA,25,1,26,29,11,28,42,65,26,29,11,38,8,43,1.5159,1.4699,1.3535,1.2829,1.4165,1.2069,1.3568,1.3528,1.4396
sub-2000,BreathNVLA,25,1,29,40,23,33,38,47,29,40,23,38,11,36,1.6165,1.7378,1.5399,1.555,1.8134,1.4516,1.5476,1.5638,1.6855
sub-2000,Meditation,25,1,34,24,27,33,27,100,34,24,27,44,9,43,1.3668,1.1525,1.1664,1.1856,1.1241,1.1123,1.1312,1.0543,1.1644
sub-2000,Meditation,25,1,37,19,29,63,28,67,37,19,29,44,9,53,1.396,1.4077,1.2445,1.2548,1.2789,1.1824,1.2447,1.1561,1.3804
sub-2000,Meditation,25,1,30,16,32,40,31,99,30,16,32,32,6,45,1.2083,1.2333,1.1432,1.193,1.0217,1.1046,1.0676,0.91592,1.1613
sub-2000,Meditation,25,1,31,25,28,59,30,99,31,25,28,48,6,48,1.4239,1.4181,1.2799,1.4943,1.2189,1.2401,1.2865,1.2075,1.4002
sub-2000,Meditation,25,1,31,35,24,31,28,83,31,35,24,48,10,41,1.2664,1.128,1.1553,1.2078,1.1325,1.0416,1.1622,0.98869,1.1443
sub-2000,Meditation,25,1,18,8,34,48,24,117,18,8,34,26,10,35,0.98335,1.0475,1.0217,0.88778,0.93723,0.87609,0.91708,0.78679,1.0311
sub-2000,Meditation,25,1,25,16,34,31,27,107,25,16,34,23,6,41,1.0703,1.0536,1.0628,0.98654,0.92368,0.97536,0.91626,0.77205,0.98198
sub-2000,Meditation,25,1,26,19,28,62,32,110,26,19,28,33,7,49,1.3036,1.2926,1.2525,1.2719,1.1815,1.1602,1.2231,1.105,1.326
sub-2000,Meditation,25,1,28,19,30,36,31,109,28,19,30,30,9,46,1.1989,1.1723,1.1099,1.0715,0.96557,0.99024,1.0146,0.90789,1.099
sub-2000,Meditation,25,1,27,22,38,23,26,78,27,22,38,26,4,30,0.97152,1.0095,1.007,0.92778,0.88614,0.93408,0.91731,0.83778,0.97668
sub-2000,Meditation,25,1,24,17,25,52,31,124,24,17,25,26,7,47,1.1369,1.1629,1.1206,1.0471,0.95983,1.0137,1.0479,0.8464,1.1577
sub-2000,Meditation,25,1,30,20,24,54,31,99,30,20,24,42,9,49,1.2785,1.2758,1.2032,1.216,1.1214,1.1709,1.1221,1.1086,1.2656
sub-2000,Meditation,25,1,20,8,27,64,32,93,20,8,27,36,7,46,1.3074,1.2771,1.1512,1.1553,1.0887,1.162,1.148,1.029,1.3266
sub-2000,Meditation,25,1,29,12,26,54,30,133,29,12,26,37,9,46,1.3923,1.3591,1.3065,1.3891,1.1832,1.3153,1.2878,1.1338,1.3404
sub-2000,Meditation,25,1,16,5,42,47,33,125,16,5,42,22,5,34,1.3056,1.3136,1.2445,1.24,1.3123,1.1788,1.2439,1.0361,1.4266
sub-2000,Meditation,25,1,21,17,30,58,33,93,21,17,30,33,6,52,1.1655,1.1631,1.1316,1.1238,1.0371,1.0553,1.0491,0.95754,1.1745
sub-2000,Meditation,25,1,23,18,34,54,34,119,23,18,34,27,5,48,1.1785,1.1771,1.131,1.1371,1.0521,1.0551,1.1099,0.90783,1.182
sub-2000,Meditation,25,1,26,16,22,54,32,98,26,16,22,42,8,51,1.5551,1.5467,1.4811,1.5532,1.3087,1.4808,1.4365,1.3866,1.4866
sub-2000,Meditation,25,1,28,21,29,40,29,94,28,21,29,47,7,45,1.4814,1.4148,1.3389,1.5205,1.234,1.3717,1.2842,1.301,1.3287
sub-2000,Meditation,25,1,24,10,50,26,21,125,24,10,50,36,10,26,1.0329,1.0368,1.0559,0.91413,0.95721,0.92927,0.85594,0.81428,0.96729
sub-2000,Meditation,25,1,19,17,52,34,27,118,19,17,52,28,6,37,0.9495,1.0012,1.0148,0.88126,0.90314,0.91165,0.83618,0.80126,0.95069
sub-2000,Meditation,25,1,29,22,29,48,32,98,29,22,29,36,7,48,1.3022,1.3137,1.21,1.2706,1.1694,1.1564,1.1869,1.1001,1.3081
sub-2000,Meditation,25,1,29,15,29,58,27,122,29,15,29,31,7,45,1.313,1.3308,1.2591,1.1848,1.1087,1.2104,1.2181,1.109,1.2978
sub-2000,Meditation,25,1,23,3,37,44,29,74,23,3,37,33,6,26,1.329,1.2529,1.3047,1.3662,0.95218,1.2201,1.2302,1.0725,1.4116
sub-2001,BreathNVHA,18,0,35,35,48,23,46,81,35,35,48,56,3,45,1.5487,1.7148,1.5211,1.4844,1.4436,1.5149,1.4978,1.3062,1.5335
sub-2001,BreathNVHA,18,0,26,27,46,31,40,79,26,27,46,62,8,39,1.4193,1.4282,1.2875,1.2276,1.199,1.3038,1.275,1.0503,1.2796
sub-2001,BreathNVHA,18,0,23,25,73,21,34,87,23,25,73,54,9,34,1.3764,1.3636,1.3532,1.3607,1.3872,1.3278,1.3225,1.1469,1.3605
sub-2001,BreathNVHA,18,0,13,14,50,20,60,93,13,14,50,76,16,49,1.9313,1.8993,1.6539,1.6381,1.7144,1.598,1.6144,1.5926,1.7058
sub-2001,BreathNVHA,18,0,20,16,50,22,42,67,20,16,50,57,4,35,1.4337,1.4693,1.4144,1.4744,1.3165,1.4134,1.3823,1.2892,1.3517
sub-2001,BreathNVHA,18,0,20,33,37,32,49,89,20,33,37,60,7,56,1.2812,1.462,1.2114,1.1906,1.2051,1.2465,1.2451,1.0803,1.1836
sub-2001,BreathNVHA,18,0,12,19,49,26,51,82,12,19,49,70,9,48,1.3693,1.5456,1.2919,1.2232,1.287,1.2907,1.3528,1.1683,1.2018
sub-2001,BreathNVHA,18,0,17,22,49,31,52,67,17,22,49,76,7,52,1.3905,1.5294,1.2878,1.2531,1.251,1.2958,1.3102,1.3139,1.2817
sub-2001,BreathNVHA,18,0,30,35,40,33,50,62,30,35,40,60,5,59,1.364,1.5519,1.2851,1.2344,1.285,1.2599,1.3458,1.2012,1.2467
sub-2001,BreathNVHA,18,0,28,30,37,33,59,81,28,30,37,54,7,57,1.4649,1.6097,1.3549,1.3087,1.4031,1.3257,1.3994,1.3666,1.3855
sub-2001,BreathNVHA,18,0,24,29,44,30,55,81,24,29,44,61,9,52,1.5648,1.7352,1.4619,1.4736,1.4217,1.4372,1.4805,1.3153,1.4449
sub-2001,BreathNVHA,18,0,23,24,39,30,59,79,23,24,39,58,7,56,1.5736,1.6701,1.4029,1.3815,1.4797,1.4042,1.4399,1.3395,1.4534
sub-2001,BreathNVHA,18,0,16,27,41,36,51,89,16,27,41,78,9,53,1.2778,1.4922,1.1753,1.1493,1.1781,1.1509,1.1855,1.1423,1.1887
sub-2001,BreathNVHA,18,0,27,31,38,30,61,92,27,31,38,53,14,58,1.6015,1.8416,1.5423,1.4683,1.5362,1.5085,1.5415,1.6139,1.5797
sub-2001,BreathNVHA,18,0,39,36,35,38,51,71,39,36,35,57,4,62,1.3372,1.5379,1.281,1.2038,1.2958,1.2787,1.3042,1.2788,1.2674
sub-2001,BreathNVHA,18,0,33,32,32,36,45,64,33,32,32,51,7,54,1.3544,1.4802,1.2423,1.2591,1.283,1.2092,1.264,1.1557,1.2893
sub-2001,BreathNVHA,18,0,35,32,40,27,53,79,35,32,40,50,3,60,1.754,1.8092,1.6075,1.6292,1.6041,1.6248,1.6386,1.4231,1.6606
sub-2001,BreathNVHA,18,0,21,23,51,23,38,71,21,23,51,46,4,35,1.293,1.4074,1.3273,1.4024,1.1858,1.2934,1.3186,1.1393,1.2275
sub-2001,BreathNVHA,18,0,20,19,40,24,43,55,20,19,40,66,10,47,1.7166,1.698,1.477,1.5963,1.5432,1.521,1.4405,1.4395,1.5229
sub-2001,BreathNVHA,18,0,29,31,39,36,56,97,29,31,39,56,5,54,1.3492,1.4892,1.2995,1.2084,1.2804,1.2825,1.3103,1.2198,1.307
sub-2001,BreathNVHA,18,0,21,23,44,38,51,88,21,23,44,68,7,53,1.2176,1.422,1.1591,1.1331,1.1975,1.1368,1.1985,1.0809,1.1597
sub-2001,BreathNVHA,18,0,23,26,37,36,55,76,23,26,37,70,5,60,1.3348,1.5061,1.248,1.1935,1.2668,1.2329,1.2537,1.2396,1.2297
sub-2001,BreathNVHA,18,0,11,22,47,30,56,68,11,22,47,77,7,50,1.3925,1.6001,1.3224,1.2952,1.2798,1.3338,1.3474,1.2349,1.2629
sub-2001,BreathNVHA,18,0,23,31,27,25,53,65,23,31,27,50,4,45,1.3023,1.4381,1.2261,1.2249,1.2705,1.1578,1.2354,1.2743,1.2919
sub-2001,BreathNVHA,18,0,17,21,53,26,42,79,17,21,53,65,17,40,1.3076,1.3833,1.2886,1.2733,1.181,1.2,1.2827,1.1465,1.3205
sub-2001,BreathNVLA,18,0,4,26,29,10,23,93,4,26,29,40,15,13,1.8952,1.6079,1.7567,1.4578,1.7896,1.461,1.6042,1.5865,1.6899
sub-2001,BreathNVLA,18,0,4,11,15,27,24,129,4,11,15,89,11,23,1.5186,1.2797,1.511,0.99923,1.3321,1.2589,1.29,1.2701,1.5083
sub-2001,BreathNVLA,18,0,2,9,39,31,47,151,2,9,39,57,16,34,1.8157,1.7893,1.7715,1.5373,1.571,1.6036,1.6427,1.8724,1.8294
sub-2001,BreathNVLA,18,0,10,20,48,26,35,125,10,20,48,58,19,23,1.803,1.7332,1.7674,1.6086,1.6341,1.6688,1.5975,1.7049,1.7361
sub-2001,BreathNVLA,18,0,3,11,63,17,22,139,3,11,63,33,19,18,1.8866,1.7471,1.8894,1.6689,1.7574,1.7389,1.7543,1.7734,1.7414
sub-2001,BreathNVLA,18,0,10,14,63,27,44,139,10,14,63,43,15,24,2.0758,2.0519,2.081,1.7947,1.8105,1.9263,1.8948,2.0881,2.0578
sub-2001,BreathNVLA,18,0,6,13,27,30,41,158,6,13,27,76,14,27,1.6256,1.5837,1.6535,1.4147,1.4238,1.4732,1.4839,1.5983,1.6379
sub-2001,BreathNVLA,18,0,3,10,76,22,37,157,3,10,76,41,14,22,1.8617,1.7563,1.8781,1.6541,1.6581,1.6821,1.709,1.8012,1.7408
sub-2001,BreathNVLA,18,0,2,9,42,34,33,144,2,9,42,54,13,29,1.5772,1.5682,1.5874,1.2479,1.4745,1.3761,1.5016,1.5314,1.5851
sub-2001,BreathNVLA,18,0,4,11,30,37,43,156,4,11,30,63,14,33,1.6431,1.6434,1.6545,1.3414,1.4664,1.4823,1.5255,1.6592,1.7201
sub-2001,BreathNVLA,18,0,11,5,56,40,16,174,11,5,56,102,15,20,1.5532,1.4704,1.7223,1.5017,1.5405,1.431,1.4669,1.4464,1.6113
sub-2001,BreathNVLA,18,0,1,13,19,23,19,100,1,13,19,68,10,20,1.6717,1.6101,1.7224,,1.6098,1.4172,1.4915,1.504,1.7047
sub-2001,BreathNVLA,18,0,10,8,54,30,40,165,10,8,54,63,17,28,1.7314,1.7364,1.7719,1.5242,1.5537,1.5765,1.597,1.6435,1.6804
sub-2001,BreathNVLA,18,0,1,14,45,32,31,133,1,14,45,60,11,45,1.9854,1.9957,1.9793,1.5502,1.8222,1.7733,1.7729,2.135,1.9459
sub-2001,BreathNVLA,18,0,2,9,59,25,32,142,2,9,59,45,21,25,1.7162,1.6236,1.7188,1.3617,1.5494,1.5297,1.5958,1.5834,1.6602
sub-2001,BreathNVLA,18,0,12,14,44,33,41,159,12,14,44,74,16,26,1.7922,1.8003,1.8352,1.6246,1.5391,1.6738,1.6716,1.7268,1.8033
sub-2001,BreathNVLA,18,0,4,9,43,32,46,171,4,9,43,59,16,31,1.759,1.7226,1.7345,1.5213,1.5729,1.5428,1.6009,1.7443,1.784
sub-2001,BreathNVLA,18,0,5,11,27,34,27,149,5,11,27,75,11,26,1.5662,1.4961,1.5901,1.1615,1.3919,1.3913,1.4477,1.4569,1.5812
sub-2001,BreathNVLA,18,0,2,14,27,22,17,116,2,14,27,65,10,18,1.6046,1.4993,1.6559,1.3142,1.5803,1.3707,1.4714,1.4517,1.6139
sub-2001,BreathNVLA,18,0,6,13,70,23,32,155,6,13,70,47,17,22,1.8504,1.6786,1.8798,1.5699,1.6261,1.6681,1.6745,1.7429,1.6853
sub-2001,BreathNVLA,18,0,10,28,46,18,32,130,10,28,46,43,23,20,1.7921,1.7644,1.8137,1.65,1.717,1.6433,1.6293,1.6921,1.6773
sub-2001,BreathNVLA,18,0,6,18,40,17,13,151,6,18,40,67,19,13,1.833,1.6792,1.8069,1.5196,1.6233,1.5921,1.586,1.6561,1.8651
sub-2001,Meditation,18,0,11,17,62,42,29,111,11,17,62,70,8,35,2.7354,2.5966,2.5653,2.4544,2.5241,2.4479,2.4577,2.2974,2.6896
sub-2001,Meditation,18,0,41,17,41,36,34,57,41,17,41,55,4,40,1.7187,1.6575,1.6398,1.5986,1.6374,1.7615,1.5964,1.7579,1.5863
sub-2001,Meditation,18,0,10,14,44,52,29,83,10,14,44,67,7,55,1.8336,1.8552,1.7193,1.5299,1.6552,1.6254,1.6504,1.484,1.7921
sub-2001,Meditation,18,0,29,20,36,58,39,73,29,20,36,84,7,31,2.1235,2.2327,2.0396,2.0007,2.0813,2.0088,2.0719,1.9047,2.0888
sub-2001,Meditation,18,0,26,17,67,51,33,121,26,17,67,110,4,25,2.0618,2.0792,2.0639,1.9505,1.9335,1.9988,2.0408,1.912,1.9712
sub-2001,Meditation,18,0,13,11,39,36,42,64,13,11,39,44,10,43,1.8755,1.9051,1.7334,1.8031,1.8192,1.8745,1.8143,1.8058,1.8006
sub-2001,Meditation,18,0,15,6,50,46,32,92,15,6,50,48,6,42,2.2107,2.3775,2.0846,1.9681,2.1411,2.0939,2.2099,2.0961,2.0991
sub-2001,Meditation,18,0,16,15,41,54,46,55,16,15,41,49,9,56,2.0312,2.0721,1.9009,1.8792,1.8785,1.9188,1.9,1.9252,1.9892
sub-2001,Meditation,18,0,40,21,42,43,39,62,40,21,42,63,8,37,2.094,2.0912,2.0026,2.0259,2.0493,2.1278,2.0499,1.9962,1.9485
sub-2001,Meditation,18,0,33,26,41,19,12,52,33,26,41,48,5,20,1.8983,1.784,1.9163,1.761,1.999,1.8665,1.7249,1.973,1.6827
sub-2001,Meditation,18,0,9,17,42,43,28,76,9,17,42,53,7,49,1.7256,1.7329,1.6526,1.5591,1.6393,1.6223,1.5847,1.4645,1.6809
sub-2001,Meditation,18,0,7,18,51,40,21,79,7,18,51,67,4,39,1.5481,1.5482,1.5047,1.3966,1.4486,1.5357,1.4255,1.3566,1.4806
sub-2001,Meditation,18,0,30,19,48,50,30,91,30,19,48,92,4,37,2.0047,1.8506,1.8139,1.6488,1.6966,1.7974,1.7797,1.9099,1.821
sub-2001,Meditation,18,0,8,17,41,41,33,79,8,17,41,56,6,51,1.6437,1.6434,1.5952,1.5485,1.5247,1.5388,1.5088,1.416,1.5862
sub-2001,Meditation,18,0,11,15,42,40,37,52,11,15,42,42,7,48,1.7241,1.7326,1.6824,1.6491,1.6398,1.6921,1.6254,1.5945,1.6712
sub-2001,Meditation,18,0,12,5,41,70,32,108,12,5,41,90,11,59,2.1967,2.2695,2.0499,1.8704,2.0327,1.9081,2.0037,1.7577,2.1538
sub-2001,Meditation,18,0,14,19,45,40,24,92,14,19,45,66,5,43,1.6974,1.6539,1.5995,1.4513,1.5834,1.5713,1.5467,1.4492,1.6388
sub-2001,Meditation,18,0,19,9,41,47,39,57,19,9,41,48,10,48,2.0873,2.1369,1.935,1.9241,2.0996,2.0658,2,2.0345,2.0142
sub-2001,Meditation,18,0,11,13,41,44,39,45,11,13,41,42,7,50,1.8608,1.8841,1.7993,1.8052,1.7897,1.8462,1.7699,1.8148,1.7983
sub-2005,BreathNVHA,20,0,15,20,43,31,24,78,15,20,43,38,9,29,1.0841,1.1168,1.0744,0.95307,1.0771,0.93961,0.98748,0.81071,1.0724
sub-2005,BreathNVHA,20,0,13,12,31,34,25,68,13,12,31,31,8,29,1.1283,1.1231,1.0726,0.9853,1.0095,1.0309,1.1132,0.99462,1.0465
sub-2005,BreathNVHA,20,0,19,15,38,22,20,57,19,15,38,37,10,21,1.3457,1.3324,1.2994,1.1386,1.2389,1.1633,1.1917,1.0951,1.2811
sub-2005,BreathNVHA,20,0,19,19,42,26,32,87,19,19,42,38,6,29,1.279,1.1969,1.1806,0.99288,1.0602,1.1253,1.0602,0.95207,1.2196
sub-2005,BreathNVHA,20,0,12,22,29,27,44,48,12,22,29,33,2,36,1.1385,1.236,1.1067,1.0614,1.1767,1.0436,1.071,0.91917,1.1339
sub-2005,BreathNVHA,20,0,9,15,38,24,33,113,9,15,38,43,9,29,1.2505,1.2187,1.1491,0.9752,1.0275,0.94776,0.92663,1.0016,1.0875
sub-2005,BreathNVHA,20,0,11,14,24,25,38,115,11,14,24,32,8,34,1.1299,1.0627,1.0767,0.82411,0.92875,0.90029,0.88439,0.78408,1.0259
sub-2005,BreathNVHA,20,0,15,22,26,30,39,68,15,22,26,39,1,32,1.1279,1.1793,1.0774,1.0253,1.0958,0.98477,1.0082,0.95282,1.1069
sub-2005,BreathNVHA,20,0,15,26,25,32,39,77,15,26,25,35,3,37,1.1038,1.1874,1.0924,1.0254,1.072,1.0091,1.0216,0.81956,1.0668
sub-2005,BreathNVHA,20,0,14,26,20,36,38,79,14,26,20,34,1,37,1.1227,1.2155,1.1605,1.0752,1.194,1.0956,1.0685,0.82154,1.1341
sub-2005,BreathNVHA,20,0,26,32,40,34,27,60,26,32,40,41,7,41,1.1294,1.1496,1.0837,0.93162,1.0363,0.96018,1.0077,0.84034,1.0191
sub-2005,BreathNVHA,20,0,22,21,43,28,28,79,22,21,43,54,5,31,1.1655,1.1312,1.1459,0.89515,0.97931,0.94505,0.98021,0.88922,1.1032
sub-2005,BreathNVHA,20,0,28,28,42,28,32,88,28,28,42,43,3,35,1.2384,1.1548,1.1179,0.97153,0.9786,0.97148,1.0139,0.92873,1.0996
sub-2005,BreathNVHA,20,0,27,27,39,27,32,63,27,27,39,44,5,34,1.4165,1.3505,1.2729,1.1558,1.1391,1.2334,1.2176,0.9872,1.3276
sub-2005,BreathNVHA,20,0,9,20,32,24,33,120,9,20,32,47,8,31,1.1946,1.0687,1.0719,0.82721,0.96181,0.91553,0.86694,0.88473,0.9957
sub-2005,BreathNVHA,20,0,12,20,24,26,40,76,12,20,24,33,2,32,1.2113,1.1637,1.1784,1.0017,1.0449,1.0551,1.0534,0.89772,1.1476
sub-2005,BreathNVHA,20,0,18,23,39,26,35,87,18,23,39,40,8,28,1.2105,1.1698,1.0775,0.9828,1.0213,1.0328,0.97275,0.83564,1.1239
sub-2005,BreathNVHA,20,0,27,35,46,30,28,65,27,35,46,45,5,35,1.2445,1.2487,1.158,1.036,1.0825,1.0189,1.1033,0.90765,1.1596
sub-2005,BreathNVHA,20,0,8,16,30,25,31,105,8,16,30,37,9,24,1.1385,1.1833,1.0708,0.98852,1.0194,0.92969,0.93488,0.97456,1.0579
sub-2005,BreathNVHA,20,0,8,15,35,24,30,104,8,15,35,51,10,24,1.1124,1.0623,1.0961,0.90524,0.92308,0.8966,0.88922,0.90467,1.0017
sub-2005,BreathNVHA,20,0,8,17,33,24,37,85,8,17,33,43,9,26,1.2006,1.2261,1.136,0.98258,1.0808,0.97633,0.98562,0.96009,1.1347
sub-2005,BreathNVHA,20,0,16,13,37,22,27,65,16,13,37,39,7,26,1.2673,1.2071,1.1253,0.95644,1.1873,1.066,1.0012,0.94787,1.2347
sub-2005,BreathNVHA,20,0,17,18,56,44,34,55,17,18,56,44,9,33,1.3053,1.3327,1.282,1.14,1.272,1.1952,1.2536,1.2174,1.1618
sub-2005,BreathNVLA,20,0,8,15,12,39,47,117,8,15,12,67,7,19,1.2504,1.3374,1.3376,1.1429,1.2189,1.4887,1.2971,1.2861,1.3913
sub-2005,BreathNVLA,20,0,6,12,16,32,48,102,6,12,16,61,9,20,1.2705,1.3043,1.4143,1.0919,1.2755,1.3285,1.3608,1.1835,1.3159
sub-2005,BreathNVLA,20,0,28,11,49,40,17,97,28,11,49,70,6,16,1.5434,1.384,1.5895,1.3495,1.4182,1.369,1.5678,1.4944,1.3903
